x,y,z,mass,vx,vy,vz,radius
-1.0,0.0,0.0,1.0,0.306893,0.125507,0.0,0.1
1.0,0.0,0.0,1.0,0.306893,0.125507,0.0,0.1
0.0,0.0,0.0,1.0,-0.613786,-0.251014,0.0,0.1
