x,y,z,mass,vx,vy,vz,radius
-1.0,0.0,0.0,1.0,0.416822,0.330333,0.0,0.1
1.0,0.0,0.0,1.0,0.416822,0.330333,0.0,0.1
0.0,0.0,0.0,1.0,-0.833644,-0.660666,0.0,0.1
